id,tags,tags_transl,user,userId,title,description,type,page,bookmark,bookmarked,likeCount,viewCount,commentCount,width,height,xRestrict,AI,date,original,thumb,fileName
112334522,"ポケモン,ポケモン剣盾,ブリムオン","精灵宝可梦,宝可梦剑盾,Hatterene",ぺぽよ,6592374,ポケモンまとめー,ミスあったので再投稿です！！すみません　暴力表現注意<br>最後だけ擬人化です,Illustration,45,425,No,323,9645,13,1400,900,AllAges,No,2023-10-06T19:16:00+00:00,https://i.pximg.net/img-original/img/2023/10/07/04/16/20/112334522_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2023/10/07/04/16/20/112334522_p0_square1200.jpg,ぺぽよ/Illustration/112334522/112334522_p0.jpg
112278416,"妖怪ウォッチ,コマさん,たいこモチ,コマじろう,コマみ,じめりんぼう,こおりんぼう,たらりん","妖怪手錶,Komasan,Pergushin,Komajiro,コマみ,Droplette,Slush,Gush",ぺぽよ,6592374,妖怪まとめ33,たぶん？33です<br>いつも通り多少暴力表現注意です。,Illustration,54,441,No,338,7315,7,1761,882,AllAges,No,2023-10-04T15:25:00+00:00,https://i.pximg.net/img-original/img/2023/10/05/00/25/29/112278416_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2023/10/05/00/25/29/112278416_p0_square1200.jpg,ぺぽよ/Illustration/112278416/112278416_p0.jpg
110493523,"オリジナル,じさつようせい,ツリエル,VOCALOIDオリジナル曲","原创,じさつようせい,ツリエル,VOCALOIDオリジナル曲",ぺぽよ,6592374,拝啓,"投稿してました！！、（激遅）<br>Y <a href=""/jump.php?https%3A%2F%2Fyoutu.be%2Frvf74ZentYo"" target=""_blank"">https://youtu.be/rvf74ZentYo</a><br>N <a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fwatch%2Fsm41954079%3Fref%3Dnicoiphone_other"" target=""_blank"">https://www.nicovideo.jp/watch/sm41954079?ref=nicoiphone_other</a><br><br>※イラストの無断転載・販売禁止します<br>禁止未经授权复制或出售插图。",Illustration,1,745,No,474,6847,12,1280,720,AllAges,No,2023-08-03T10:08:00+00:00,https://i.pximg.net/img-original/img/2023/08/03/19/08/13/110493523_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2023/08/03/19/08/13/110493523_p0_square1200.jpg,ぺぽよ/Illustration/110493523_p0.png
110409185,"オリジナル,オリキャラ,人外,ぽよろいど,ぽよぺっぷ!","原创,原创角色,非人类,ぽよろいど,ぽよぺっぷ!",ぺぽよ,6592374,烏丸屋でグッズが出るよ！,【お知らせ】<br><br>7/29から烏丸屋でグッズの受注販売が始まります！<br>通販ではポストカード、オフライン店舗では透明うちわの特典もあります🤩<br><br>他にも、イベント販売(成都comiday26＋広州AniExpo)<br>・烏丸屋中国ECサイト<br>・烏丸屋上海オフライン店舗<br>で販売予定です、よろしくお願いします！,Illustration,1,348,No,257,5795,4,1200,4791,AllAges,No,2023-07-31T11:52:00+00:00,https://i.pximg.net/img-original/img/2023/07/31/20/52/42/110409185_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2023/07/31/20/52/42/110409185_p0_square1200.jpg,ぺぽよ/Illustration/110409185_p0.png
110408941,"オリジナル,ぽよぺっぷ!,夜歩及,しんで,やんで","原创,ぽよぺっぷ!,夜歩及,しんで,やんで",ぺぽよ,6592374,ドワンゴジェイピーストアからグッズ出ます‼️,"【お知らせ】<br><br>8/8日からドワンゴジェイピーストア<br>【<a href=""/jump.php?https%3A%2F%2Fjpstore.dwango.jp%2F"" target=""_blank"">https://jpstore.dwango.jp/</a>】でオリジナルグッズの受注販売を開始します！！！<br>描き下ろしのかわいいグッズたくさん用意したので、ぜひよろしくお願いします❤️‍🩹<br>グッズの詳細等は当日までお待ちください！！！！！",Illustration,1,377,No,274,6484,3,2048,1656,AllAges,No,2023-07-31T11:44:00+00:00,https://i.pximg.net/img-original/img/2023/07/31/20/44/59/110408941_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2023/07/31/20/44/59/110408941_p0_square1200.jpg,ぺぽよ/Illustration/110408941_p0.jpg
108000092,"鬼滅の刃,魘夢,鬼滅の刃500users入り,不潔の刃,たまごっち","鬼灭之刃,魇梦,鬼滅の刃500users入り,不潔の刃,tamagotchi",ぺぽよ,6592374,鬼滅まとめ,ほぼ魘夢です。<br>若干グロ注意　最後のは弟の絵です,Illustration,29,946,No,716,16600,16,1139,1200,AllAges,No,2023-05-10T06:16:00+00:00,https://i.pximg.net/img-original/img/2023/05/10/15/16/14/108000092_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2023/05/10/15/16/14/108000092_p0_square1200.jpg,ぺぽよ/Illustration/108000092/108000092_p0.jpg
107477218,"オリジナル,ぽよぺっぷ!,ぽよろいど,お品書き","原创,ぽよぺっぷ!,ぽよろいど,お品書き",ぺぽよ,6592374,ニコニコ超会議2023お品書き,"クリエイタークロスに参加しています！<br>29日（土）の【C-18】ペポン商店でお待ちしてます！<br>よろしくお願いします<br><br>ニコニコ超会議公式サイト<br><a href=""/jump.php?https%3A%2F%2Fchokaigi.jp%2F"" target=""_blank"">https://chokaigi.jp/</a>",Illustration,5,360,No,263,9864,5,2481,3508,AllAges,No,2023-04-24T04:40:00+00:00,https://i.pximg.net/img-original/img/2023/04/24/13/40/36/107477218_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2023/04/24/13/40/36/107477218_p0_square1200.jpg,ぺぽよ/Illustration/107477218/107477218_p0.png
105513198,"ボーマス,ボーマス50,お品書き,ぺぽよ","ボーマス,ボーマス50,お品書き,ぺぽよ",ぺぽよ,6592374,ボーマス50お品書き！,よろしくお願いします！来る人はお約束の方もよく読んでくださるとありがたいです,Illustration,3,311,No,237,7355,6,1448,2048,AllAges,No,2023-02-19T00:21:00+00:00,https://i.pximg.net/img-original/img/2023/02/19/09/21/05/105513198_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2023/02/19/09/21/05/105513198_p0_square1200.jpg,ぺぽよ/Illustration/105513198/105513198_p0.jpg
105372376,"ぽよぺっぷ!,人外,ケモノ,オリキャラ,ぺぽよ","ぽよぺっぷ!,非人类,野兽,原创角色,ぺぽよ",ぺぽよ,6592374,あけおめ2023,"あけましたありがとう<br>ネップリ3/4までやってるのでぜひ、<br><br><a href=""https://www.fanbox.cc/@pepoyo-ppy"" target=""_blank"">https://www.fanbox.cc/@pepoyo-ppy</a>",Illustration,2,541,No,359,11639,9,2039,1378,AllAges,No,2023-02-14T06:20:00+00:00,https://i.pximg.net/img-original/img/2023/02/14/15/20/03/105372376_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2023/02/14/15/20/03/105372376_p0_square1200.jpg,ぺぽよ/Illustration/105372376/105372376_p0.png
103931428,オリジナル,原创,ぺぽよ,6592374,日記,"<a href=""/jump.php?https%3A%2F%2Fyoutu.be%2FEEZUIL2mIsY"" target=""_blank"">https://youtu.be/EEZUIL2mIsY</a>",Illustration,1,947,No,671,11215,3,1280,720,AllAges,No,2022-12-26T02:43:00+00:00,https://i.pximg.net/img-original/img/2022/12/26/11/43/20/103931428_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/12/26/11/43/20/103931428_p0_square1200.jpg,ぺぽよ/Illustration/103931428_p0.png
